time;NETWORK__BUS___10_TN_Upu_value;NETWORK__BUS___11_TN_Upu_value;NETWORK__BUS___12_TN_Upu_value;NETWORK__BUS___13_TN_Upu_value;NETWORK__BUS___14_TN_Upu_value;NETWORK__BUS____1_TN_Upu_value;NETWORK__BUS____2_TN_Upu_value;NETWORK__BUS____3_TN_Upu_value;NETWORK__BUS____9_TN_Upu_value;NETWORK__BUS____7_TN_Upu_value;NETWORK__BUS____4_TN_Upu_value;NETWORK__BUS____6_TN_Upu_value;NETWORK__BUS____5_TN_Upu_value;NETWORK__BUS____8_TN_Upu_value;BBM_GEN____1_SM_generator_omegaPu;BBM_GEN____1_SM_generator_PGen;BBM_GEN____1_SM_generator_QGen;BBM_GEN____1_SM_generator_UStatorPu;BBM_GEN____1_SM_voltageRegulator_EfdPu;BBM_GEN____2_SM_generator_omegaPu;BBM_GEN____2_SM_generator_PGen;BBM_GEN____2_SM_generator_QGen;BBM_GEN____2_SM_generator_UStatorPu;BBM_GEN____2_SM_voltageRegulator_EfdPu;BBM_GEN____3_SM_generator_omegaPu;BBM_GEN____3_SM_generator_PGen;BBM_GEN____3_SM_generator_QGen;BBM_GEN____3_SM_generator_UStatorPu;BBM_GEN____3_SM_voltageRegulator_EfdPu;BBM_GEN____6_SM_generator_omegaPu;BBM_GEN____6_SM_generator_PGen;BBM_GEN____6_SM_generator_QGen;BBM_GEN____6_SM_generator_UStatorPu;BBM_GEN____6_SM_voltageRegulator_EfdPu;BBM_GEN____8_SM_generator_omegaPu;BBM_GEN____8_SM_generator_PGen;BBM_GEN____8_SM_generator_QGen;BBM_GEN____8_SM_generator_UStatorPu;BBM_GEN____8_SM_voltageRegulator_EfdPu;BBM_LOAD___2_EC_load_PPu;BBM_LOAD___2_EC_load_QPu;NETWORK__BUS____2-BUS____4-1_AC_iSide2;NETWORK__BUS____2-BUS____4-1_AC_state;AM_BUS____2-BUS____4-1_AC_currentLimitAutomaton_order;AM_BUS____2-BUS____4-1_AC_currentLimitAutomaton_IMax;NETWORK__BUS____2-BUS____5-1_AC_iSide2;NETWORK__BUS____2-BUS____5-1_AC_state;AM_BUS____2-BUS____5-1_AC_currentLimitAutomaton_order;AM_BUS____2-BUS____5-1_AC_currentLimitAutomaton_IMax;
0.000000;1.051051;1.057013;1.055333;1.050525;1.035657;1.059970;1.045041;1.010001;1.055982;1.061530;1.017703;1.070149;1.019553;1.089926;1.000000;232.329584;-16.691112;1.058824;1.436651;1.000000;40.126172;43.675435;1.048778;1.269364;1.000000;-0.074832;25.065946;1.011505;1.112250;1.000000;0.005609;12.802790;1.070149;1.461749;1.000000;-0.006407;17.569940;1.096374;1.194231;0.216990;0.126990;448.520852;2.000000;2.000000;1000.000000;333.847358;2.000000;2.000000;600.000000;
0.000001;1.051051;1.057013;1.055333;1.050525;1.035657;1.059970;1.045041;1.010001;1.055982;1.061530;1.017703;1.070149;1.019553;1.089926;1.000000;232.329575;-16.691133;1.058824;1.436651;1.000000;40.126182;43.675431;1.048778;1.269364;1.000000;-0.074841;25.065935;1.011505;1.112250;1.000000;0.005629;12.802836;1.070149;1.461748;1.000000;-0.006410;17.569931;1.096374;1.194231;0.216990;0.126990;448.520844;2.000000;2.000000;1000.000000;333.847341;2.000000;2.000000;600.000000;
0.000002;1.051051;1.057013;1.055333;1.050525;1.035657;1.059970;1.045041;1.010001;1.055982;1.061530;1.017703;1.070149;1.019553;1.089926;1.000000;232.329575;-16.691133;1.058824;1.436651;1.000000;40.126181;43.675431;1.048778;1.269364;1.000000;-0.074841;25.065935;1.011505;1.112250;1.000000;0.005629;12.802836;1.070149;1.461748;1.000000;-0.006410;17.569931;1.096374;1.194231;0.216990;0.126990;448.520844;2.000000;2.000000;1000.000000;333.847341;2.000000;2.000000;600.000000;
0.000004;1.051051;1.057013;1.055333;1.050525;1.035657;1.059970;1.045041;1.010001;1.055982;1.061530;1.017703;1.070149;1.019553;1.089926;1.000000;232.329577;-16.691131;1.058824;1.436651;1.000000;40.126180;43.675430;1.048778;1.269364;1.000000;-0.074840;25.065936;1.011505;1.112250;1.000000;0.005628;12.802832;1.070149;1.461748;1.000000;-0.006410;17.569931;1.096374;1.194231;0.216990;0.126990;448.520844;2.000000;2.000000;1000.000000;333.847341;2.000000;2.000000;600.000000;
0.000008;1.051051;1.057013;1.055333;1.050525;1.035657;1.059970;1.045041;1.010001;1.055982;1.061530;1.017703;1.070149;1.019553;1.089926;1.000000;232.329578;-16.691130;1.058824;1.436651;1.000000;40.126178;43.675429;1.048778;1.269364;1.000000;-0.074840;25.065935;1.011505;1.112250;1.000000;0.005629;12.802834;1.070149;1.461748;1.000000;-0.006410;17.569931;1.096374;1.194231;0.216990;0.126990;448.520842;2.000000;2.000000;1000.000000;333.847339;2.000000;2.000000;600.000000;
0.000016;1.051051;1.057013;1.055333;1.050525;1.035657;1.059970;1.045041;1.010001;1.055982;1.061530;1.017703;1.070149;1.019553;1.089926;1.000000;232.329580;-16.691127;1.058824;1.436651;1.000000;40.126174;43.675427;1.048778;1.269364;1.000000;-0.074838;25.065935;1.011505;1.112250;1.000000;0.005628;12.802832;1.070149;1.461748;1.000000;-0.006410;17.569931;1.096374;1.194231;0.216990;0.126990;448.520839;2.000000;2.000000;1000.000000;333.847337;2.000000;2.000000;600.000000;
0.000032;1.051051;1.057013;1.055333;1.050525;1.035657;1.059970;1.045041;1.010001;1.055982;1.061530;1.017703;1.070149;1.019553;1.089926;1.000000;232.329586;-16.691119;1.058824;1.436651;1.000000;40.126166;43.675422;1.048778;1.269364;1.000000;-0.074836;25.065936;1.011505;1.112250;1.000000;0.005627;12.802829;1.070149;1.461748;1.000000;-0.006409;17.569932;1.096374;1.194231;0.216990;0.126990;448.520833;2.000000;2.000000;1000.000000;333.847331;2.000000;2.000000;600.000000;
0.000064;1.051051;1.057013;1.055333;1.050525;1.035657;1.059970;1.045041;1.010001;1.055982;1.061530;1.017703;1.070149;1.019553;1.089926;1.000000;232.329597;-16.691105;1.058824;1.436650;1.000000;40.126150;43.675413;1.048778;1.269364;1.000000;-0.074830;25.065937;1.011505;1.112250;1.000000;0.005624;12.802821;1.070149;1.461748;1.000000;-0.006409;17.569933;1.096374;1.194231;0.216990;0.126990;448.520822;2.000000;2.000000;1000.000000;333.847321;2.000000;2.000000;600.000000;
0.000128;1.051051;1.057013;1.055333;1.050525;1.035657;1.059970;1.045041;1.010001;1.055982;1.061530;1.017703;1.070149;1.019553;1.089926;1.000000;232.329620;-16.691076;1.058824;1.436650;1.000000;40.126118;43.675395;1.048778;1.269364;1.000000;-0.074819;25.065938;1.011505;1.112250;1.000000;0.005619;12.802807;1.070149;1.461749;1.000000;-0.006408;17.569935;1.096374;1.194231;0.216990;0.126990;448.520799;2.000000;2.000000;1000.000000;333.847300;2.000000;2.000000;600.000000;
0.000256;1.051051;1.057013;1.055333;1.050525;1.035657;1.059970;1.045041;1.010001;1.055982;1.061530;1.017703;1.070149;1.019553;1.089926;1.000000;232.329665;-16.691019;1.058824;1.436650;1.000000;40.126054;43.675359;1.048778;1.269364;1.000000;-0.074797;25.065941;1.011505;1.112250;1.000000;0.005608;12.802777;1.070149;1.461750;1.000000;-0.006405;17.569940;1.096374;1.194231;0.216990;0.126990;448.520753;2.000000;2.000000;1000.000000;333.847259;2.000000;2.000000;600.000000;
